"Journal name"	"Category"	"Total Citations"	"2020 JIF"	"2020 JCI"	"5 Year JIF"	"Immediacy Index"	"Eigenfactor"	"Article Influence Score"	"Total Articles"	"DB"	"Cat"
18669	"SOCIAL WORK - ESCI"	689	NA	0.61	NA	0.115	0.001	0.535	24	"ESCI"	"SOCIAL WORK"
18670	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	661	NA	1.3	NA	1	0.001	0.809	14	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18671	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	658	NA	0.95	NA	0.521	0.001	0.231	47	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
5837	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	656	0.451	0.46	0.969	0.077	0.001	0.642	13	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
11067	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	655	0.409	0.25	0.6	0.219	0	0.218	32	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18672	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	654	NA	0.91	NA	0.643	0.001	1.741	13	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
1749	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	624	1.6	2.58	2.301	0.704	0.001	0.823	22	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18673	"SOCIAL WORK - SSCI"	608	1.311	0.79	2.224	0.226	0.001	0.649	30	"SSCI"	"SOCIAL WORK"
18674	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	604	NA	1.17	NA	2.74	0.001	0.523	50	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
11076	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	600	1.186	0.47	1.636	0.909	0	0.363	21	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
872	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	597	2.023	0.77	1.877	0.111	0	0.329	27	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18675	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	595	NA	0.64	NA	0.285	0.002	0.361	118	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18676	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	593	2.245	2.22	NA	2.75	0.003	2.027	28	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18677	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	592	2.806	0.81	2.359	0.978	0.001	0.997	45	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
2359	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	580	1.625	0.46	1.793	0.357	0.001	1.682	14	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18678	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	569	NA	0.14	NA	0.025	0.001	0.051	189	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18679	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	564	NA	0.63	NA	0.324	0	0.297	34	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18680	"SOCIAL WORK - ESCI"	560	NA	0.62	NA	0.267	0	0.357	30	"ESCI"	"SOCIAL WORK"
18681	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	559	NA	1.27	NA	0.577	0.001	0.422	50	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
2848	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	551	0.523	0.23	0.604	0.158	0.001	0.138	95	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18682	"SOCIAL SCIENCES, MATHEMATICAL METHODS - ESCI"	530	NA	1.53	NA	1.5	0.001	0.61	33	"ESCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18683	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	526	NA	0.69	NA	0	0.001	0.784	14	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18684	"SOCIAL WORK - SSCI"	523	1.158	0.63	1.583	0.361	0	0.306	57	"SSCI"	"SOCIAL WORK"
18685	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	521	NA	0.18	NA	0.05	0.001	0.257	40	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18686	"SOCIAL WORK - ESCI"	516	NA	0.55	NA	0.132	0.001	0.291	33	"ESCI"	"SOCIAL WORK"
18687	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	514	NA	1	NA	0.158	0.002	1.081	38	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
17519	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	509	1.087	0.43	1.667	0.227	0	0.331	22	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18688	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	497	0.766	0.33	0.713	0.273	0	0.34	17	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18689	"SOCIAL WORK - ESCI"	495	NA	0.54	NA	0.453	0	0.355	53	"ESCI"	"SOCIAL WORK"
18690	"SOCIAL WORK - ESCI"	485	NA	0.64	NA	0.429	0.001	0.421	34	"ESCI"	"SOCIAL WORK"
18522	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	477	0.953	0.49	1.204	0.182	0.001	0.726	33	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18691	"SOCIAL WORK - ESCI"	476	NA	0.72	NA	0.522	0	0.432	22	"ESCI"	"SOCIAL WORK"
17529	"SOCIAL WORK - SSCI"	458	1.559	0.73	2.566	0.333	0.001	0.579	31	"SSCI"	"SOCIAL WORK"
18692	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	458	NA	0.59	NA	0.171	0.001	0.554	35	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18693	"SOCIAL WORK - ESCI"	450	NA	0.62	NA	0.273	0	0.389	31	"ESCI"	"SOCIAL WORK"
18694	"SOCIAL WORK - ESCI"	442	NA	0.77	NA	0.435	0	0.464	23	"ESCI"	"SOCIAL WORK"
4778	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	440	NA	0.81	NA	0.167	0.001	0.654	24	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
17919	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	440	1.104	0.65	1.623	0.25	0.001	0.706	24	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
2387	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	435	2.16	0.78	1.433	0.333	0.001	0.667	33	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
9186	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	427	1.231	0.66	1.266	0.217	0.001	0.357	20	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18695	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	424	NA	1.5	NA	NA	0.001	0.916	NA	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18696	"SOCIAL SCIENCES, MATHEMATICAL METHODS - ESCI"	411	NA	0.38	NA	0	0	0.577	23	"ESCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18697	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	403	1.286	0.8	1.951	0.333	0.001	1.163	17	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18698	"SOCIAL WORK - ESCI"	402	NA	0.94	NA	0.333	0.001	0.573	29	"ESCI"	"SOCIAL WORK"
18699	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	397	NA	0.82	NA	0.588	0.001	1.41	33	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
13750	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	391	1	0.33	0.645	0.049	0	0.208	33	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18700	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	380	0.357	0.18	0.617	0.214	0.001	0.519	28	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18701	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	376	NA	0.41	NA	0.125	0	0.559	8	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
12409	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	373	3	1.06	4.935	0.063	0.003	4.281	16	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
4802	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	367	0.66	0.57	0.904	0.043	0.001	0.389	23	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18702	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	360	NA	0.82	NA	0.13	0	0.254	23	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
2410	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	358	1.229	0.55	1.389	0.325	0.001	0.835	40	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18703	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	358	NA	0.88	NA	0.212	0.001	1.009	33	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18704	"SOCIAL WORK - ESCI"	355	NA	0.41	NA	0.154	0	0.281	25	"ESCI"	"SOCIAL WORK"
15718	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	346	NA	1.34	NA	0.722	0	0.26	34	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18705	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	344	0.422	0.22	0.615	0.133	0	0.104	29	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18706	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	334	2.231	1.35	1.75	0.077	0	0.346	13	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18707	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	326	NA	0.09	NA	0.609	0.001	0.52	23	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18708	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	322	NA	0.12	NA	0.132	0.001	0.384	36	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18709	"SOCIAL WORK - ESCI"	318	NA	0.72	NA	0.429	0	0.415	41	"ESCI"	"SOCIAL WORK"
18710	"SOCIAL WORK - ESCI"	317	NA	0.41	NA	0.385	0	0.359	13	"ESCI"	"SOCIAL WORK"
18711	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	312	NA	0.94	NA	0.318	0	0.617	22	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18712	"SOCIAL WORK - ESCI"	305	NA	0.44	NA	0.125	0	0.288	24	"ESCI"	"SOCIAL WORK"
18713	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	304	1.267	0.65	0.943	0.067	0	0.679	15	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18714	"SOCIAL WORK - ESCI"	301	NA	0.32	NA	0.118	0	0.142	17	"ESCI"	"SOCIAL WORK"
18715	"SOCIAL WORK - ESCI"	293	NA	0.41	NA	0.219	0	0.332	30	"ESCI"	"SOCIAL WORK"
10149	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	284	1.059	0.69	1.192	0.333	0	0.544	12	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18716	"SOCIAL WORK - ESCI"	281	NA	0.63	NA	0.036	0	0.459	55	"ESCI"	"SOCIAL WORK"
18539	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	274	0.83	0.57	1.347	0.3	0.001	0.483	17	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18717	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	274	0.31	0.41	0.431	0.091	0	0.072	99	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18718	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	274	NA	0.49	NA	0.25	0	0.208	17	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18719	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	267	1.292	0.71	1.556	0.143	0	0.777	13	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18720	"SOCIAL WORK - ESCI"	248	NA	0.41	NA	0	0	0.332	27	"ESCI"	"SOCIAL WORK"
18721	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	246	1.679	0.9	1.821	0.1	0	0.35	10	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18722	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	245	1.957	0.85	NA	0.976	0.001	1.582	41	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18723	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	240	NA	0.28	NA	0.204	0	0.156	49	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18724	"SOCIAL WORK - SSCI"	238	0.932	0.52	0.888	0.5	0	0.172	46	"SSCI"	"SOCIAL WORK"
18725	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	235	NA	0.54	NA	0.272	0	0.022	80	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18726	"SOCIAL WORK - ESCI"	232	NA	0.44	NA	0.135	0	0.144	31	"ESCI"	"SOCIAL WORK"
18727	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	229	NA	0.66	NA	0.113	0.002	1.024	53	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
6303	"SOCIAL WORK - ESCI"	228	NA	0.82	NA	0.42	0	0.469	67	"ESCI"	"SOCIAL WORK"
18728	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	228	NA	0.24	NA	0.043	0.001	0.465	23	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
1819	"SOCIAL SCIENCES, MATHEMATICAL METHODS - SSCI"	216	0.72	0.34	0.712	0.35	0	0.175	20	"SSCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18729	"SOCIAL WORK - ESCI"	216	NA	0.23	NA	0.063	0	0.16	31	"ESCI"	"SOCIAL WORK"
18730	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	208	NA	0.58	NA	0.682	0	0.339	22	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18731	"SOCIAL WORK - ESCI"	204	NA	0.48	NA	0.032	0	0.242	31	"ESCI"	"SOCIAL WORK"
18732	"SOCIAL WORK - ESCI"	200	NA	0.4	NA	0.108	0	0.197	37	"ESCI"	"SOCIAL WORK"
8285	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	199	0.5	0.85	0.475	0.097	0	0.213	31	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18733	"SOCIAL WORK - ESCI"	196	NA	0.41	NA	0.235	0	0.24	30	"ESCI"	"SOCIAL WORK"
18734	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	195	NA	0.56	NA	0.125	0	0.564	15	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18735	"SOCIAL SCIENCES, MATHEMATICAL METHODS - ESCI"	194	NA	0.69	NA	0.222	0	0.716	9	"ESCI"	"SOCIAL SCIENCES, MATHEMATICAL METHODS"
18736	"SOCIAL WORK - ESCI"	193	NA	0.41	NA	0.2	0	0.217	20	"ESCI"	"SOCIAL WORK"
18737	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	188	NA	0.15	NA	0.245	0	0.057	53	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18738	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	186	NA	0.51	NA	0.264	0	0.213	125	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18739	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	182	0.272	0.1	0.314	0.033	0	0.23	28	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
4881	"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI"	182	1.154	0.95	1.241	0	0	0.694	12	"SSCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18740	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	181	NA	0.48	NA	0	0	0.101	38	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
18741	"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI"	181	NA	1.29	NA	0.217	0.001	1.059	23	"ESCI"	"SOCIAL SCIENCES, INTERDISCIPLINARY"
